County Name,Date,Cases,DailyNew
Bandera,2020-03-09,0.0,x
Bastrop,2020-03-09,0.0,x
Baylor,2020-03-09,0.0,x
Bee,2020-03-09,0.0,x
Bell,2020-03-09,0.0,x
Bexar,2020-03-09,0.0,x
Blanco,2020-03-09,0.0,x
Borden,2020-03-09,0.0,x
Bosque,2020-03-09,0.0,x
Bowie,2020-03-09,0.0,x
Brazoria,2020-03-09,0.0,x
Brazos,2020-03-09,0.0,x
Brewster,2020-03-09,0.0,x
Briscoe,2020-03-09,0.0,x
Brooks,2020-03-09,0.0,x
Brown,2020-03-09,0.0,x
Burleson,2020-03-09,0.0,x
Burnet,2020-03-09,0.0,x
Caldwell,2020-03-09,0.0,x
Calhoun,2020-03-09,0.0,x
Callahan,2020-03-09,0.0,x
Cameron,2020-03-09,0.0,x
Camp,2020-03-09,0.0,x
Carson,2020-03-09,0.0,x
Cass,2020-03-09,0.0,x
Castro,2020-03-09,0.0,x
Chambers,2020-03-09,0.0,x
Cherokee,2020-03-09,0.0,x
Childress,2020-03-09,0.0,x
Clay,2020-03-09,0.0,x
Cochran,2020-03-09,0.0,x
Coke,2020-03-09,0.0,x
Coleman,2020-03-09,0.0,x
Collin,2020-03-09,1.0,x
Collingsworth,2020-03-09,0.0,x
Colorado,2020-03-09,0.0,x
Comal,2020-03-09,0.0,x
Comanche,2020-03-09,0.0,x
Concho,2020-03-09,0.0,x
Cooke,2020-03-09,0.0,x
Coryell,2020-03-09,0.0,x
Cottle,2020-03-09,0.0,x
Crane,2020-03-09,0.0,x
Crockett,2020-03-09,0.0,x
Crosby,2020-03-09,0.0,x
Culberson,2020-03-09,0.0,x
Dallam,2020-03-09,0.0,x
Dallas,2020-03-09,0.0,x
Dawson,2020-03-09,0.0,x
Deaf Smith,2020-03-09,0.0,x
Delta,2020-03-09,0.0,x
Denton,2020-03-09,0.0,x
DeWitt,2020-03-09,0.0,x
Dickens,2020-03-09,0.0,x
Dimmit,2020-03-09,0.0,x
Donley,2020-03-09,0.0,x
Duval,2020-03-09,0.0,x
Eastland,2020-03-09,0.0,x
Ector,2020-03-09,0.0,x
Edwards,2020-03-09,0.0,x
Ellis,2020-03-09,0.0,x
El Paso,2020-03-09,0.0,x
Erath,2020-03-09,0.0,x
Falls,2020-03-09,0.0,x
Fannin,2020-03-09,0.0,x
Fayette,2020-03-09,0.0,x
Fisher,2020-03-09,0.0,x
Floyd,2020-03-09,0.0,x
Foard,2020-03-09,0.0,x
Fort Bend,2020-03-09,6.0,x
Franklin,2020-03-09,0.0,x
Freestone,2020-03-09,0.0,x
Frio,2020-03-09,0.0,x
Gaines,2020-03-09,0.0,x
Galveston,2020-03-09,0.0,x
Garza,2020-03-09,0.0,x
Gillespie,2020-03-09,0.0,x
Glasscock,2020-03-09,0.0,x
Goliad,2020-03-09,0.0,x
Gonzales,2020-03-09,0.0,x
Gray,2020-03-09,0.0,x
Grayson,2020-03-09,0.0,x
Gregg,2020-03-09,0.0,x
Grimes,2020-03-09,0.0,x
Guadalupe,2020-03-09,0.0,x
Hale,2020-03-09,0.0,x
Hall,2020-03-09,0.0,x
Hamilton,2020-03-09,0.0,x
Hansford,2020-03-09,0.0,x
Hardeman,2020-03-09,0.0,x
Hardin,2020-03-09,0.0,x
Harris,2020-03-09,5.0,x
Harrison,2020-03-09,0.0,x
Hartley,2020-03-09,0.0,x
Haskell,2020-03-09,0.0,x
Hays,2020-03-09,0.0,x
Hemphill,2020-03-09,0.0,x
Henderson,2020-03-09,0.0,x
Hidalgo,2020-03-09,0.0,x
Hill,2020-03-09,0.0,x
Hockley,2020-03-09,0.0,x
Hood,2020-03-09,0.0,x
Hopkins,2020-03-09,0.0,x
Houston,2020-03-09,0.0,x
Howard,2020-03-09,0.0,x
Hudspeth,2020-03-09,0.0,x
Hunt,2020-03-09,0.0,x
Hutchinson,2020-03-09,0.0,x
Irion,2020-03-09,0.0,x
Jack,2020-03-09,0.0,x
Jackson,2020-03-09,0.0,x
Jasper,2020-03-09,0.0,x
Jeff Davis,2020-03-09,0.0,x
Jefferson,2020-03-09,0.0,x
Jim Hogg,2020-03-09,0.0,x
Jim Wells,2020-03-09,0.0,x
Johnson,2020-03-09,0.0,x
Jones,2020-03-09,0.0,x
Karnes,2020-03-09,0.0,x
Kaufman,2020-03-09,0.0,x
Kendall,2020-03-09,0.0,x
Kenedy,2020-03-09,0.0,x
Kent,2020-03-09,0.0,x
Kerr,2020-03-09,0.0,x
Kimble,2020-03-09,0.0,x
King,2020-03-09,0.0,x
Kinney,2020-03-09,0.0,x
Kleberg,2020-03-09,0.0,x
Knox,2020-03-09,0.0,x
Lamar,2020-03-09,0.0,x
Lamb,2020-03-09,0.0,x
Lampasas,2020-03-09,0.0,x
La Salle,2020-03-09,0.0,x
Lavaca,2020-03-09,0.0,x
Lee,2020-03-09,0.0,x
Leon,2020-03-09,0.0,x
Liberty,2020-03-09,0.0,x
Limestone,2020-03-09,0.0,x
Lipscomb,2020-03-09,0.0,x
Live Oak,2020-03-09,0.0,x
Llano,2020-03-09,0.0,x
Loving,2020-03-09,0.0,x
Lubbock,2020-03-09,0.0,x
Lynn,2020-03-09,0.0,x
McCulloch,2020-03-09,0.0,x
McLennan,2020-03-09,0.0,x
McMullen,2020-03-09,0.0,x
Madison,2020-03-09,0.0,x
Marion,2020-03-09,0.0,x
Martin,2020-03-09,0.0,x
Mason,2020-03-09,0.0,x
Matagorda,2020-03-09,0.0,x
Maverick,2020-03-09,0.0,x
Medina,2020-03-09,0.0,x
Menard,2020-03-09,0.0,x
Midland,2020-03-09,0.0,x
Milam,2020-03-09,0.0,x
Mills,2020-03-09,0.0,x
Mitchell,2020-03-09,0.0,x
Montague,2020-03-09,0.0,x
Montgomery,2020-03-09,0.0,x
Moore,2020-03-09,0.0,x
Morris,2020-03-09,0.0,x
Motley,2020-03-09,0.0,x
Nacogdoches,2020-03-09,0.0,x
Navarro,2020-03-09,0.0,x
Newton,2020-03-09,0.0,x
Nolan,2020-03-09,0.0,x
Nueces,2020-03-09,0.0,x
Ochiltree,2020-03-09,0.0,x
Oldham,2020-03-09,0.0,x
Orange,2020-03-09,0.0,x
Palo Pinto,2020-03-09,0.0,x
Panola,2020-03-09,0.0,x
Parker,2020-03-09,0.0,x
Parmer,2020-03-09,0.0,x
Pecos,2020-03-09,0.0,x
Polk,2020-03-09,0.0,x
Potter,2020-03-09,0.0,x
Presidio,2020-03-09,0.0,x
Rains,2020-03-09,0.0,x
Randall,2020-03-09,0.0,x
Reagan,2020-03-09,0.0,x
Real,2020-03-09,0.0,x
Red River,2020-03-09,0.0,x
Reeves,2020-03-09,0.0,x
Refugio,2020-03-09,0.0,x
Roberts,2020-03-09,0.0,x
Robertson,2020-03-09,0.0,x
Rockwall,2020-03-09,0.0,x
Runnels,2020-03-09,0.0,x
Rusk,2020-03-09,0.0,x
Sabine,2020-03-09,0.0,x
San Augustine,2020-03-09,0.0,x
San Jacinto,2020-03-09,0.0,x
San Patricio,2020-03-09,0.0,x
San Saba,2020-03-09,0.0,x
Schleicher,2020-03-09,0.0,x
Scurry,2020-03-09,0.0,x
Shackelford,2020-03-09,0.0,x
Shelby,2020-03-09,0.0,x
Sherman,2020-03-09,0.0,x
Smith,2020-03-09,0.0,x
Somervell,2020-03-09,0.0,x
Starr,2020-03-09,0.0,x
Stephens,2020-03-09,0.0,x
Sterling,2020-03-09,0.0,x
Stonewall,2020-03-09,0.0,x
Sutton,2020-03-09,0.0,x
Swisher,2020-03-09,0.0,x
Tarrant,2020-03-09,0.0,x
Taylor,2020-03-09,0.0,x
Terrell,2020-03-09,0.0,x
Terry,2020-03-09,0.0,x
Throckmorton,2020-03-09,0.0,x
Titus,2020-03-09,0.0,x
Tom Green,2020-03-09,0.0,x
Travis,2020-03-09,0.0,x
Trinity,2020-03-09,0.0,x
Tyler,2020-03-09,0.0,x
Upshur,2020-03-09,0.0,x
Upton,2020-03-09,0.0,x
Uvalde,2020-03-09,0.0,x
Val Verde,2020-03-09,0.0,x
Van Zandt,2020-03-09,0.0,x
Victoria,2020-03-09,0.0,x
Walker,2020-03-09,0.0,x
Waller,2020-03-09,0.0,x
Ward,2020-03-09,0.0,x
Washington,2020-03-09,0.0,x
Webb,2020-03-09,0.0,x
Wharton,2020-03-09,0.0,x
Wheeler,2020-03-09,0.0,x
Wichita,2020-03-09,0.0,x
Wilbarger,2020-03-09,0.0,x
Willacy,2020-03-09,0.0,x
Williamson,2020-03-09,0.0,x
Wilson,2020-03-09,0.0,x
Winkler,2020-03-09,0.0,x
Wise,2020-03-09,0.0,x
Wood,2020-03-09,0.0,x
Yoakum,2020-03-09,0.0,x
Young,2020-03-09,0.0,x
Zapata,2020-03-09,0.0,x
Zavala,2020-03-09,0.0,x
Total,2020-03-09,12.0,x
Counties Reporting Cases,2020-03-09,3.0,x
Anderson,2020-03-10,0.0,x
Andrews,2020-03-10,0.0,x
Angelina,2020-03-10,0.0,x
Aransas,2020-03-10,0.0,x
Archer,2020-03-10,0.0,x
Armstrong,2020-03-10,0.0,x
Atascosa,2020-03-10,0.0,x
Austin,2020-03-10,0.0,x
Bailey,2020-03-10,0.0,x
Bandera,2020-03-10,0.0,x
Bastrop,2020-03-10,0.0,x
Baylor,2020-03-10,0.0,x
Bee,2020-03-10,0.0,x
Bell,2020-03-10,0.0,x
Bexar,2020-03-10,0.0,x
Blanco,2020-03-10,0.0,x
Borden,2020-03-10,0.0,x
Bosque,2020-03-10,0.0,x
Bowie,2020-03-10,0.0,x
Brazoria,2020-03-10,0.0,x
Brazos,2020-03-10,0.0,x
Brewster,2020-03-10,0.0,x
Briscoe,2020-03-10,0.0,x
Brooks,2020-03-10,0.0,x
Brown,2020-03-10,0.0,x
Burleson,2020-03-10,0.0,x
Burnet,2020-03-10,0.0,x
Caldwell,2020-03-10,0.0,x
Calhoun,2020-03-10,0.0,x
Callahan,2020-03-10,0.0,x
Cameron,2020-03-10,0.0,x
Camp,2020-03-10,0.0,x
Carson,2020-03-10,0.0,x
Cass,2020-03-10,0.0,x
Castro,2020-03-10,0.0,x
Chambers,2020-03-10,0.0,x
Cherokee,2020-03-10,0.0,x
Childress,2020-03-10,0.0,x
Clay,2020-03-10,0.0,x
Cochran,2020-03-10,0.0,x
Coke,2020-03-10,0.0,x
Coleman,2020-03-10,0.0,x
Collin,2020-03-10,3.0,x
Collingsworth,2020-03-10,0.0,x
Colorado,2020-03-10,0.0,x
Comal,2020-03-10,0.0,x
Comanche,2020-03-10,0.0,x
Concho,2020-03-10,0.0,x
Cooke,2020-03-10,0.0,x
Coryell,2020-03-10,0.0,x
Cottle,2020-03-10,0.0,x
Crane,2020-03-10,0.0,x
Crockett,2020-03-10,0.0,x
Crosby,2020-03-10,0.0,x
Culberson,2020-03-10,0.0,x
Dallam,2020-03-10,0.0,x
Dallas,2020-03-10,0.0,x
Dawson,2020-03-10,0.0,x
Deaf Smith,2020-03-10,0.0,x
Delta,2020-03-10,0.0,x
Denton,2020-03-10,0.0,x
DeWitt,2020-03-10,0.0,x
Dickens,2020-03-10,0.0,x
Dimmit,2020-03-10,0.0,x
Donley,2020-03-10,0.0,x
Duval,2020-03-10,0.0,x
Eastland,2020-03-10,0.0,x
Ector,2020-03-10,0.0,x
Edwards,2020-03-10,0.0,x
Ellis,2020-03-10,0.0,x
El Paso,2020-03-10,0.0,x
Erath,2020-03-10,0.0,x
Falls,2020-03-10,0.0,x
Fannin,2020-03-10,0.0,x
Fayette,2020-03-10,0.0,x
Fisher,2020-03-10,0.0,x
Floyd,2020-03-10,0.0,x
Foard,2020-03-10,0.0,x
Fort Bend,2020-03-10,6.0,x
Franklin,2020-03-10,0.0,x
Freestone,2020-03-10,0.0,x
Frio,2020-03-10,0.0,x
Gaines,2020-03-10,0.0,x
Galveston,2020-03-10,0.0,x
Garza,2020-03-10,0.0,x
Gillespie,2020-03-10,0.0,x
Glasscock,2020-03-10,0.0,x
Goliad,2020-03-10,0.0,x
Gonzales,2020-03-10,0.0,x
Gray,2020-03-10,0.0,x
Grayson,2020-03-10,0.0,x
Gregg,2020-03-10,1.0,x
Grimes,2020-03-10,0.0,x
Guadalupe,2020-03-10,0.0,x
Hale,2020-03-10,0.0,x
Hall,2020-03-10,0.0,x
Hamilton,2020-03-10,0.0,x
Hansford,2020-03-10,0.0,x
Hardeman,2020-03-10,0.0,x
Hardin,2020-03-10,0.0,x
Harris,2020-03-10,5.0,x
Harrison,2020-03-10,0.0,x
Hartley,2020-03-10,0.0,x
Haskell,2020-03-10,0.0,x
Hays,2020-03-10,0.0,x
Hemphill,2020-03-10,0.0,x
Henderson,2020-03-10,0.0,x
Hidalgo,2020-03-10,0.0,x
Hill,2020-03-10,0.0,x
Hockley,2020-03-10,0.0,x
Hood,2020-03-10,0.0,x
Hopkins,2020-03-10,0.0,x
Houston,2020-03-10,0.0,x
Howard,2020-03-10,0.0,x
Hudspeth,2020-03-10,0.0,x
Hunt,2020-03-10,0.0,x
Hutchinson,2020-03-10,0.0,x
Irion,2020-03-10,0.0,x
Jack,2020-03-10,0.0,x
Jackson,2020-03-10,0.0,x
Jasper,2020-03-10,0.0,x
Jeff Davis,2020-03-10,0.0,x
Jefferson,2020-03-10,0.0,x
Jim Hogg,2020-03-10,0.0,x
Jim Wells,2020-03-10,0.0,x
Johnson,2020-03-10,0.0,x
Jones,2020-03-10,0.0,x
Karnes,2020-03-10,0.0,x
Kaufman,2020-03-10,0.0,x
Kendall,2020-03-10,0.0,x
Kenedy,2020-03-10,0.0,x
Kent,2020-03-10,0.0,x
Kerr,2020-03-10,0.0,x
Kimble,2020-03-10,0.0,x
King,2020-03-10,0.0,x
Kinney,2020-03-10,0.0,x
Kleberg,2020-03-10,0.0,x
Knox,2020-03-10,0.0,x
Lamar,2020-03-10,0.0,x
Lamb,2020-03-10,0.0,x
Lampasas,2020-03-10,0.0,x
La Salle,2020-03-10,0.0,x
Lavaca,2020-03-10,0.0,x
Lee,2020-03-10,0.0,x
Leon,2020-03-10,0.0,x
Liberty,2020-03-10,0.0,x
Limestone,2020-03-10,0.0,x
Lipscomb,2020-03-10,0.0,x
Live Oak,2020-03-10,0.0,x
Llano,2020-03-10,0.0,x
Loving,2020-03-10,0.0,x
Lubbock,2020-03-10,0.0,x
Lynn,2020-03-10,0.0,x
McCulloch,2020-03-10,0.0,x
McLennan,2020-03-10,0.0,x
McMullen,2020-03-10,0.0,x
Madison,2020-03-10,0.0,x
Marion,2020-03-10,0.0,x
Martin,2020-03-10,0.0,x
Mason,2020-03-10,0.0,x
Matagorda,2020-03-10,0.0,x
Maverick,2020-03-10,0.0,x
Medina,2020-03-10,0.0,x
Menard,2020-03-10,0.0,x
Midland,2020-03-10,0.0,x
Milam,2020-03-10,0.0,x
Mills,2020-03-10,0.0,x
Mitchell,2020-03-10,0.0,x
Montague,2020-03-10,0.0,x
Montgomery,2020-03-10,0.0,x
Moore,2020-03-10,0.0,x
Morris,2020-03-10,0.0,x
Motley,2020-03-10,0.0,x
Nacogdoches,2020-03-10,0.0,x
Navarro,2020-03-10,0.0,x
Newton,2020-03-10,0.0,x
Nolan,2020-03-10,0.0,x
Nueces,2020-03-10,0.0,x
Ochiltree,2020-03-10,0.0,x
Oldham,2020-03-10,0.0,x
Orange,2020-03-10,0.0,x
Palo Pinto,2020-03-10,0.0,x
Panola,2020-03-10,0.0,x
Parker,2020-03-10,0.0,x
Parmer,2020-03-10,0.0,x
Pecos,2020-03-10,0.0,x
Polk,2020-03-10,0.0,x
Potter,2020-03-10,0.0,x
Presidio,2020-03-10,0.0,x
Rains,2020-03-10,0.0,x
Randall,2020-03-10,0.0,x
Reagan,2020-03-10,0.0,x
Real,2020-03-10,0.0,x
Red River,2020-03-10,0.0,x
Reeves,2020-03-10,0.0,x
Refugio,2020-03-10,0.0,x
Roberts,2020-03-10,0.0,x
Robertson,2020-03-10,0.0,x
Rockwall,2020-03-10,0.0,x
Runnels,2020-03-10,0.0,x
Rusk,2020-03-10,0.0,x
Sabine,2020-03-10,0.0,x
San Augustine,2020-03-10,0.0,x
San Jacinto,2020-03-10,0.0,x
San Patricio,2020-03-10,0.0,x
San Saba,2020-03-10,0.0,x
Schleicher,2020-03-10,0.0,x
Scurry,2020-03-10,0.0,x
Shackelford,2020-03-10,0.0,x
Shelby,2020-03-10,0.0,x
Sherman,2020-03-10,0.0,x
Smith,2020-03-10,0.0,x
Somervell,2020-03-10,0.0,x
Starr,2020-03-10,0.0,x
Stephens,2020-03-10,0.0,x
Sterling,2020-03-10,0.0,x
Stonewall,2020-03-10,0.0,x
Sutton,2020-03-10,0.0,x
Swisher,2020-03-10,0.0,x
Tarrant,2020-03-10,0.0,x
Taylor,2020-03-10,0.0,x
Terrell,2020-03-10,0.0,x
Terry,2020-03-10,0.0,x
Throckmorton,2020-03-10,0.0,x
Titus,2020-03-10,0.0,x
Tom Green,2020-03-10,0.0,x
Travis,2020-03-10,0.0,x
Trinity,2020-03-10,0.0,x
Tyler,2020-03-10,0.0,x
Upshur,2020-03-10,0.0,x
Upton,2020-03-10,0.0,x
Uvalde,2020-03-10,0.0,x
Val Verde,2020-03-10,0.0,x
Van Zandt,2020-03-10,0.0,x
Victoria,2020-03-10,0.0,x
Walker,2020-03-10,0.0,x
Waller,2020-03-10,0.0,x
Ward,2020-03-10,0.0,x
Washington,2020-03-10,0.0,x
Webb,2020-03-10,0.0,x
Wharton,2020-03-10,0.0,x
Wheeler,2020-03-10,0.0,x
Wichita,2020-03-10,0.0,x
Wilbarger,2020-03-10,0.0,x
Willacy,2020-03-10,0.0,x
Williamson,2020-03-10,0.0,x
Wilson,2020-03-10,0.0,x
Winkler,2020-03-10,0.0,x
Wise,2020-03-10,0.0,x
Wood,2020-03-10,0.0,x
Yoakum,2020-03-10,0.0,x
Young,2020-03-10,0.0,x
Zapata,2020-03-10,0.0,x
Zavala,2020-03-10,0.0,x
Total,2020-03-10,15.0,x
Counties Reporting Cases,2020-03-10,4.0,x
Anderson,2020-03-11,0.0,x
Andrews,2020-03-11,0.0,x
Angelina,2020-03-11,0.0,x
Aransas,2020-03-11,0.0,x
Archer,2020-03-11,0.0,x
Armstrong,2020-03-11,0.0,x
Atascosa,2020-03-11,0.0,x
Austin,2020-03-11,0.0,x
Bailey,2020-03-11,0.0,x
Bandera,2020-03-11,0.0,x
Bastrop,2020-03-11,0.0,x
Baylor,2020-03-11,0.0,x
Bee,2020-03-11,0.0,x
Bell,2020-03-11,0.0,x
Bexar,2020-03-11,0.0,x
Blanco,2020-03-11,0.0,x
Borden,2020-03-11,0.0,x
Bosque,2020-03-11,0.0,x
Bowie,2020-03-11,0.0,x
Brazoria,2020-03-11,0.0,x
Brazos,2020-03-11,0.0,x
Brewster,2020-03-11,0.0,x
Briscoe,2020-03-11,0.0,x
Brooks,2020-03-11,0.0,x
Brown,2020-03-11,0.0,x
Burleson,2020-03-11,0.0,x
Burnet,2020-03-11,0.0,x
Caldwell,2020-03-11,0.0,x
Calhoun,2020-03-11,0.0,x
Callahan,2020-03-11,0.0,x
Cameron,2020-03-11,0.0,x
Camp,2020-03-11,0.0,x
Carson,2020-03-11,0.0,x
Cass,2020-03-11,0.0,x
Castro,2020-03-11,0.0,x
Chambers,2020-03-11,0.0,x
Cherokee,2020-03-11,0.0,x
Childress,2020-03-11,0.0,x
Clay,2020-03-11,0.0,x
Cochran,2020-03-11,0.0,x
Coke,2020-03-11,0.0,x
Coleman,2020-03-11,0.0,x
Collin,2020-03-11,3.0,x
Collingsworth,2020-03-11,0.0,x
Colorado,2020-03-11,0.0,x
Comal,2020-03-11,0.0,x
Comanche,2020-03-11,0.0,x
Concho,2020-03-11,0.0,x
Cooke,2020-03-11,0.0,x
Coryell,2020-03-11,0.0,x
Cottle,2020-03-11,0.0,x
Crane,2020-03-11,0.0,x
Crockett,2020-03-11,0.0,x
Crosby,2020-03-11,0.0,x
Culberson,2020-03-11,0.0,x
Dallam,2020-03-11,0.0,x
Dallas,2020-03-11,2.0,x
Dawson,2020-03-11,0.0,x
Deaf Smith,2020-03-11,0.0,x
Delta,2020-03-11,0.0,x
Denton,2020-03-11,0.0,x
DeWitt,2020-03-11,0.0,x
Dickens,2020-03-11,0.0,x
Dimmit,2020-03-11,0.0,x
Donley,2020-03-11,0.0,x
Duval,2020-03-11,0.0,x
Eastland,2020-03-11,0.0,x
Ector,2020-03-11,0.0,x
Edwards,2020-03-11,0.0,x
Ellis,2020-03-11,0.0,x
El Paso,2020-03-11,0.0,x
Erath,2020-03-11,0.0,x
Falls,2020-03-11,0.0,x
Fannin,2020-03-11,0.0,x
Fayette,2020-03-11,0.0,x
Fisher,2020-03-11,0.0,x
Floyd,2020-03-11,0.0,x
Foard,2020-03-11,0.0,x
Fort Bend,2020-03-11,6.0,x
Franklin,2020-03-11,0.0,x
Freestone,2020-03-11,0.0,x
Frio,2020-03-11,0.0,x
Gaines,2020-03-11,0.0,x
Galveston,2020-03-11,0.0,x
Garza,2020-03-11,0.0,x
Gillespie,2020-03-11,0.0,x
Glasscock,2020-03-11,0.0,x
Goliad,2020-03-11,0.0,x
Gonzales,2020-03-11,0.0,x
Gray,2020-03-11,0.0,x
Grayson,2020-03-11,0.0,x
Gregg,2020-03-11,1.0,x
Grimes,2020-03-11,0.0,x
Guadalupe,2020-03-11,0.0,x
Hale,2020-03-11,0.0,x
Hall,2020-03-11,0.0,x
Hamilton,2020-03-11,0.0,x
Hansford,2020-03-11,0.0,x
Hardeman,2020-03-11,0.0,x
Hardin,2020-03-11,0.0,x
Harris,2020-03-11,5.0,x
Harrison,2020-03-11,0.0,x
Hartley,2020-03-11,0.0,x
Haskell,2020-03-11,0.0,x
Hays,2020-03-11,0.0,x
Hemphill,2020-03-11,0.0,x
Henderson,2020-03-11,0.0,x
Hidalgo,2020-03-11,0.0,x
Hill,2020-03-11,0.0,x
Hockley,2020-03-11,0.0,x
Hood,2020-03-11,0.0,x
Hopkins,2020-03-11,0.0,x
Houston,2020-03-11,0.0,x
Howard,2020-03-11,0.0,x
Hudspeth,2020-03-11,0.0,x
Hunt,2020-03-11,0.0,x
Hutchinson,2020-03-11,0.0,x
Irion,2020-03-11,0.0,x
Jack,2020-03-11,0.0,x
Jackson,2020-03-11,0.0,x
Jasper,2020-03-11,0.0,x
Jeff Davis,2020-03-11,0.0,x
Jefferson,2020-03-11,0.0,x
Jim Hogg,2020-03-11,0.0,x
Jim Wells,2020-03-11,0.0,x
Johnson,2020-03-11,0.0,x
Jones,2020-03-11,0.0,x
Karnes,2020-03-11,0.0,x
Kaufman,2020-03-11,0.0,x
Kendall,2020-03-11,0.0,x
Kenedy,2020-03-11,0.0,x
Kent,2020-03-11,0.0,x
Kerr,2020-03-11,0.0,x
Kimble,2020-03-11,0.0,x
King,2020-03-11,0.0,x
Kinney,2020-03-11,0.0,x
Kleberg,2020-03-11,0.0,x
Knox,2020-03-11,0.0,x
Lamar,2020-03-11,0.0,x
Lamb,2020-03-11,0.0,x
Lampasas,2020-03-11,0.0,x
La Salle,2020-03-11,0.0,x
Lavaca,2020-03-11,0.0,x
Lee,2020-03-11,0.0,x
Leon,2020-03-11,0.0,x
Liberty,2020-03-11,0.0,x
Limestone,2020-03-11,0.0,x
Lipscomb,2020-03-11,0.0,x
Live Oak,2020-03-11,0.0,x
Llano,2020-03-11,0.0,x
Loving,2020-03-11,0.0,x
Lubbock,2020-03-11,0.0,x
Lynn,2020-03-11,0.0,x
McCulloch,2020-03-11,0.0,x
McLennan,2020-03-11,0.0,x
McMullen,2020-03-11,0.0,x
Madison,2020-03-11,0.0,x
Marion,2020-03-11,0.0,x
Martin,2020-03-11,0.0,x
Mason,2020-03-11,0.0,x
Matagorda,2020-03-11,0.0,x
Maverick,2020-03-11,0.0,x
Medina,2020-03-11,0.0,x
Menard,2020-03-11,0.0,x
Midland,2020-03-11,0.0,x
Milam,2020-03-11,0.0,x
Mills,2020-03-11,0.0,x
Mitchell,2020-03-11,0.0,x
Montague,2020-03-11,0.0,x
Montgomery,2020-03-11,0.0,x
Moore,2020-03-11,0.0,x
Morris,2020-03-11,0.0,x
Motley,2020-03-11,0.0,x
Nacogdoches,2020-03-11,0.0,x
Navarro,2020-03-11,0.0,x
Newton,2020-03-11,0.0,x
Nolan,2020-03-11,0.0,x
Nueces,2020-03-11,0.0,x
Ochiltree,2020-03-11,0.0,x
Oldham,2020-03-11,0.0,x
Orange,2020-03-11,0.0,x
Palo Pinto,2020-03-11,0.0,x
Panola,2020-03-11,0.0,x
Parker,2020-03-11,0.0,x
Parmer,2020-03-11,0.0,x
Pecos,2020-03-11,0.0,x
Polk,2020-03-11,0.0,x
Potter,2020-03-11,0.0,x
Presidio,2020-03-11,0.0,x
Rains,2020-03-11,0.0,x
Randall,2020-03-11,0.0,x
Reagan,2020-03-11,0.0,x
Real,2020-03-11,0.0,x
Red River,2020-03-11,0.0,x
Reeves,2020-03-11,0.0,x
Refugio,2020-03-11,0.0,x
Roberts,2020-03-11,0.0,x
Robertson,2020-03-11,0.0,x
Rockwall,2020-03-11,0.0,x
Runnels,2020-03-11,0.0,x
Rusk,2020-03-11,0.0,x
Sabine,2020-03-11,0.0,x
San Augustine,2020-03-11,0.0,x
San Jacinto,2020-03-11,0.0,x
San Patricio,2020-03-11,0.0,x
San Saba,2020-03-11,0.0,x
Schleicher,2020-03-11,0.0,x
Scurry,2020-03-11,0.0,x
Shackelford,2020-03-11,0.0,x
Shelby,2020-03-11,0.0,x
Sherman,2020-03-11,0.0,x
Smith,2020-03-11,0.0,x
Somervell,2020-03-11,0.0,x
Starr,2020-03-11,0.0,x
Stephens,2020-03-11,0.0,x
Sterling,2020-03-11,0.0,x
Stonewall,2020-03-11,0.0,x
Sutton,2020-03-11,0.0,x
Swisher,2020-03-11,0.0,x
Tarrant,2020-03-11,1.0,x
Taylor,2020-03-11,0.0,x
Terrell,2020-03-11,0.0,x
Terry,2020-03-11,0.0,x
Throckmorton,2020-03-11,0.0,x
Titus,2020-03-11,0.0,x
Tom Green,2020-03-11,0.0,x
Travis,2020-03-11,0.0,x
Trinity,2020-03-11,0.0,x
Tyler,2020-03-11,0.0,x
Upshur,2020-03-11,0.0,x
Upton,2020-03-11,0.0,x
Uvalde,2020-03-11,0.0,x
Val Verde,2020-03-11,0.0,x
Van Zandt,2020-03-11,0.0,x
Victoria,2020-03-11,0.0,x
Walker,2020-03-11,0.0,x
Waller,2020-03-11,0.0,x
Ward,2020-03-11,0.0,x
Washington,2020-03-11,0.0,x
Webb,2020-03-11,0.0,x
Wharton,2020-03-11,0.0,x
Wheeler,2020-03-11,0.0,x
Wichita,2020-03-11,0.0,x
Wilbarger,2020-03-11,0.0,x
Willacy,2020-03-11,0.0,x
Williamson,2020-03-11,0.0,x
Wilson,2020-03-11,0.0,x
Winkler,2020-03-11,0.0,x
Wise,2020-03-11,0.0,x
Wood,2020-03-11,0.0,x
Yoakum,2020-03-11,0.0,x
Young,2020-03-11,0.0,x
Zapata,2020-03-11,0.0,x
Zavala,2020-03-11,0.0,x
Total,2020-03-11,18.0,x
Counties Reporting Cases,2020-03-11,6.0,x
Anderson,2020-03-12,0.0,x
Andrews,2020-03-12,0.0,x
Angelina,2020-03-12,0.0,x
Aransas,2020-03-12,0.0,x
Archer,2020-03-12,0.0,x
Armstrong,2020-03-12,0.0,x
Atascosa,2020-03-12,0.0,x
Austin,2020-03-12,0.0,x
Bailey,2020-03-12,0.0,x
Bandera,2020-03-12,0.0,x
Bastrop,2020-03-12,0.0,x
Baylor,2020-03-12,0.0,x
Bee,2020-03-12,0.0,x
Bell,2020-03-12,0.0,x
Bexar,2020-03-12,0.0,x
Blanco,2020-03-12,0.0,x
Borden,2020-03-12,0.0,x
Bosque,2020-03-12,0.0,x
